Model,Feature,Importance
Random Forest,State_MD,0.0014324649734877507
Random Forest,State_NM,0.0014120463633054711
Random Forest,State_DE,0.0013935118857844278
Random Forest,State_FL,0.0013547579411303573
Random Forest,State_MA,0.0012516506414307607
Random Forest,State_OR,0.0012367620642182828
Random Forest,State_WY,0.0012230916593551043
Random Forest,State_ID,0.0012167787134693322
Random Forest,State_WI,0.0012065696817180288
Random Forest,State_MN,0.001205571362451576
Random Forest,State_VT,0.0011844766533296192
Random Forest,State_PA,0.0011836008739731798
Random Forest,State_AZ,0.0010917657009561496
Random Forest,State_AL,0.0010184192590981006
Random Forest,State_KS,0.0009849174928512866
Random Forest,State_LA,0.0009445727353030502
Random Forest,State_WA,0.0009325467373240262
Random Forest,State_NV,0.0009258041236699694
Random Forest,State_GA,0.0008783237107036401
Random Forest,State_HI,0.0008557849601173742
Random Forest,State_SD,0.0008490727087308931
Random Forest,State_IA,0.0007804724288617474
Random Forest,State_AR,0.0006940350540448463
Random Forest,State_MO,0.0006038686484631662
Random Forest,State_KY,0.0005803614541531873
Random Forest,State_TN,0.000433918982546794
XGBoost,International plan,0.2099640965461731
XGBoost,Voice mail plan,0.09128871560096741
XGBoost,Customer service calls,0.06274967640638351
XGBoost,State_ME,0.041503388434648514
XGBoost,Area code,0.037007104605436325
XGBoost,Total day minutes,0.03596383333206177
XGBoost,Total eve charge,0.03426783159375191
XGBoost,State_NJ,0.031759005039930344
XGBoost,State_MS,0.03028380684554577
XGBoost,State_FL,0.024251455441117287
XGBoost,Total intl calls,0.023497769609093666
XGBoost,State_MI,0.021550245583057404
XGBoost,State_GA,0.01974472403526306
XGBoost,State_OH,0.019429130479693413
XGBoost,State_NE,0.016748400405049324
XGBoost,Total intl minutes,0.014519727788865566
XGBoost,Total eve minutes,0.014035339467227459
XGBoost,State_TX,0.01343946997076273
XGBoost,State_SC,0.013108217157423496
XGBoost,State_WY,0.01290036179125309
XGBoost,State_UT,0.011869683861732483
XGBoost,State_MA,0.011838363483548164
XGBoost,Total intl charge,0.011364963836967945
